ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10001,AAS,1020,100,Lecture,4,Ashon Crawley,TuTh 12:30pm - 1:45pm,Minor Hall 125,Introduction to African-American and African Studies II,,Open,20,180,0
10006,AAS,1020,101,Discussion,0,Staff,Tu 6:00pm - 6:50pm,New Cabell Hall 111,Introduction to African-American and African Studies II,,Open,1,20,0
10005,AAS,1020,102,Discussion,0,Staff,Tu 5:00pm - 5:50pm,New Cabell Hall 111,Introduction to African-American and African Studies II,,Open,3,20,0
10004,AAS,1020,103,Discussion,0,Staff,We 5:00pm - 5:50pm,TBA,Introduction to African-American and African Studies II,,Open,4,20,0
10003,AAS,1020,104,Discussion,0,Staff,We 7:00pm - 7:50pm,New Cabell Hall 107,Introduction to African-American and African Studies II,,Open,1,20,0
10007,AAS,1020,105,Discussion,0,Staff,Tu 7:00pm - 7:50pm,New Cabell Hall 107,Introduction to African-American and African Studies II,,Open,5,20,0
10002,AAS,1020,106,Discussion,0,Staff,We 6:00pm - 6:50pm,New Cabell Hall 287,Introduction to African-American and African Studies II,,Open,2,20,0
13095,AAS,1020,107,Discussion,0,Staff,Tu 4:00pm - 4:50pm,New Cabell Hall 291,Introduction to African-American and African Studies II,,Open,3,20,0
13096,AAS,1020,108,Discussion,0,Staff,Tu 5:00pm - 5:50pm,New Cabell Hall 107,Introduction to African-American and African Studies II,,Open,1,20,0
13097,AAS,1020,109,Discussion,0,Staff,Tu 6:00pm - 6:50pm,New Cabell Hall 107,Introduction to African-American and African Studies II,,Open,0,20,0
11702,AAS,2224,1,SEM,3,Lisa Shutt,Tu 2:00pm - 4:30pm,New Cabell Hall 315,Black Femininities and Masculinities in the US Media,,Open,16,20,0
11922,AAS,2224,2,SEM,3,Lisa Shutt,We 2:00pm - 4:30pm,New Cabell Hall 315,Black Femininities and Masculinities in the US Media,,Open,6,20,0
19474,AAS,2224,3,SEM,3,Lisa Shutt,Th 2:00pm - 4:30pm,New Cabell Hall 315,Black Femininities and Masculinities in the US Media,,Open,8,20,0
18124,AAS,2559,1,SEM,3,Tony Perry,We 3:30pm - 6:00pm,New Cabell Hall 209,New Course in African and African American Studies,Reckoning with Slavery,Open,5,20,0
18125,AAS,2559,2,SEM,3,Sabrina Pendergrass,TuTh 11:00am - 12:15pm,New Cabell Hall 283,New Course in African and African American Studies,The Souls of Black Folk,Open,16,20,0
18127,AAS,3200,1,SEM,3,Mark Hadley,TuTh 9:30am - 10:45am,Brooks Hall 103,"Martin, Malcolm and America",,Closed,10,20,0
19617,AAS,3300,1,SEM,3,Sabrina Pendergrass,TuTh 8:00am - 9:15am,New Cabell Hall 303,Social Science Perspectives on African American and African Studies,,Open,2,22,0
12737,AAS,3500,1,SEM,3,Tony Perry,Tu 3:30pm - 6:00pm,New Cabell Hall 207,Intermediate Seminar in African-American & African Studies,Race in Early America,Open,1,20,0
12738,AAS,3500,2,SEM,3,Nzingha Kendall,Mo 6:00pm - 8:30pm,New Cabell Hall 303,Intermediate Seminar in African-American & African Studies,Aesthetics of Black Cinema,Open,6,24,0
18119,AAS,3500,3,SEM,3,Kimberly Fields,We 3:30pm - 6:00pm,New Cabell Hall 489,Intermediate Seminar in African-American & African Studies,Environmental Justice Across the Globe,Open,9,20,0
18120,AAS,3500,4,SEM,3,Kimberly Fields,We 6:30pm - 9:00pm,New Cabell Hall 489,Intermediate Seminar in African-American & African Studies,"Race, Law & the American Constitution",Open,13,20,0
13099,AAS,3500,5,SEM,3,Pamela Reynolds,Mo 6:00pm - 8:30pm,New Cabell Hall 211,Intermediate Seminar in African-American & African Studies,African American Health Professionals,Open,14,15,0
12740,AAS,3500,6,SEM,3,Claire Payton,Th 3:30pm - 6:00pm,New Cabell Hall 115,Intermediate Seminar in African-American & African Studies,Introduction to Caribbean Studies,Open,2,18,0
19611,AAS,3500,8,SEM,3,Staff,MoWe 2:00pm - 3:15pm,TBA,Intermediate Seminar in African-American & African Studies,"Race, Law & the American Constitution",Closed,0,0,0
13644,AAS,3500,9,SEM,3,Ethan Madarieta,MoWe 2:00pm - 3:15pm,New Cabell Hall 485,Intermediate Seminar in African-American & African Studies,"Practice of Black, Indigenous & Latinx Performance",Open,4,30,0
13100,AAS,3810,1,SEM,3,Sabrina Pendergrass,TuTh 2:00pm - 3:15pm,New Cabell Hall 287,"Race, Culture and Inequality",,Open,13,20,0
19614,AAS,3830,1,SEM,3,Njelle Hamilton,MoWe 3:30pm - 4:45pm,New Cabell Hall 338,"Being Human: Race, Technology, and the Arts",,Open,5,24,0
10008,AAS,4080,1,IND,3,Staff,TBA,TBA,Thesis,,Open,0,10,0
19616,AAS,4570,1,SEM,3,Njelle Hamilton,MoWe 2:00pm - 3:15pm,Bryan Hall 310,Advanced Research Seminar in African-American & African Studies,Caribbean Sci-Fi,Open,0,18,0
13509,AAS,4725,1,SEM,3,Kwame Otu,Mo 3:30pm - 6:00pm,New Cabell Hall 036,Queer Africas,,Wait List,15,15,1
18137,AAS,5559,1,Lecture,3,Kevin Gaines,Tu 2:00pm - 4:30pm,New Cabell Hall 036,New Course in African and African American Studies,Introduction to Africana Studies,Open,0,12,0
18442,ACCT,2010,701,Lecture,3,Marshall Kasten,Mo 3:32am - 3:33am,Web-Based Course-No class mtgs,Introductory Accounting I,,Open,0,24,0
18443,ACCT,2020,701,Lecture,3,Noel Montesa,Mo 6:30pm - 9:30pm,Web-Based Course-No class mtgs,Introductory Accounting II,,Open,0,24,0
18445,ACCT,3110,701,Lecture,3,Leon Hutton,Tu 6:30pm - 9:30pm,Web-Based Course-No class mtgs,Intermediate Accounting I,,Open,0,24,0
18446,ACCT,3120,701,Lecture,3,Nammy Lee,Th 6:30pm - 9:30pm,Web-Based Course-No class mtgs,Intermediate Accounting II,,Open,0,24,0
18447,ACCT,3140,701,Lecture,3,William Cardine,Mo 6:30pm - 9:30pm,Web-Based Course-No class mtgs,Cost Accounting,,Open,0,24,0
18448,ACCT,4450,701,Lecture,3,Todd Falcone,We 6:30pm - 9:30pm,Web-Based Course-No class mtgs,Federal Taxation I,,Open,0,24,0
18451,ACCT,5250,701,Lecture,3,Richard Evans,Th 6:30pm - 9:30pm,Web-Based Course-No class mtgs,Advanced Auditing,,Open,0,24,0
18453,ACCT,5310,701,Lecture,3,Gary Brooks,Mo 6:30pm - 9:30pm,Web-Based Course-No class mtgs,Selected Topics in Advanced Accounting,,Open,0,24,0
18456,ACCT,5410,701,Lecture,3,Wendy Achilles,Mo 3:34am - 3:35am,Web-Based Course-No class mtgs,Fraud Examination,,Open,0,24,0
18454,ACCT,5460,701,Lecture,3,Gary Dittmer,We 6:30pm - 9:30pm,Web-Based Course-No class mtgs,Federal Taxation II,,Open,0,24,0
14000,AIRS,100,1,Laboratory,0,Brian Lagrange,Tu 3:30pm - 5:30pm,TBA,Leadership Laboratory,,Open,18,100,0
13994,AIRS,1200,1,Lecture,1,Brian Lagrange,Tu 1:00pm - 1:50pm,Gilmer Hall 190,The Foundations of the U.S. Air Force,,Open,0,50,0
13995,AIRS,1200,2,Lecture,1,Brian Lagrange,We 1:00pm - 1:50pm,Astronomy Bldg 139,The Foundations of the U.S. Air Force,,Open,0,35,0
13996,AIRS,2200,1,Lecture,1,Christopher Tulip,Tu 2:00pm - 2:50pm,Gilmer Hall 190,The Evolution of Air and Space Power,,Open,0,40,0
13997,AIRS,2200,2,Lecture,1,Christopher Tulip,We 2:00pm - 2:50pm,Astronomy Bldg 139,The Evolution of Air and Space Power,,Open,0,35,0
13998,AIRS,3200,1,Lecture,3,David Fields,Tu 12:30pm - 1:45pm,Claude Moore Nursing Educ G120,Concepts of Air Force Leadership and Management,,Open,3,25,0
14001,AIRS,3200,2,Lecture,3,David Fields,Mo 12:30pm - 3:00pm,Astronomy Bldg 139,Concepts of Air Force Leadership and Management,,Open,7,15,0
13999,AIRS,4200,1,Lecture,3,Michael Hough,Tu 12:30pm - 1:45pm,Shannon House 107,National Security Affairs/Preparation for Active Duty,,Open,2,30,0
14002,AIRS,4200,2,Lecture,3,Michael Hough,We 3:30pm - 5:30pm,Astronomy Bldg 117,National Security Affairs/Preparation for Active Duty,,Open,6,30,0
14115,ALAR,8020,1,STO,6,Staff,MoWe 12:30pm - 5:00pm,Campbell Hall 401,Design Development Studio,,Open,22,80,0
14250,ALAR,8995,1,STO,6,Bradley Cantrell,MoWe 12:30pm - 5:00pm,Campbell Hall 401,Thesis II,,Open,0,4,0
17996,ALAR,8995,2,STO,6,Leena Cho,MoWe 12:30pm - 5:00pm,Campbell Hall 401,Thesis II,,Open,0,30,0
19941,ALAR,8995,3,STO,6,Luis Pancorbo Crespo,MoWe 12:30pm - 5:00pm,Campbell Hall 401,Thesis II,,Open,1,3,0
19920,ALAR,8995,4,STO,6,William Clark,MoWe 12:30pm - 5:00pm,Campbell Hall 401,Thesis II,,Open,1,2,0
19942,ALAR,8995,5,STO,6,Mona El Khafif,MoWe 12:30pm - 5:00pm,Campbell Hall 401,Thesis II,,Open,1,3,0
14150,ALAR,8999,1,IND,12-Jan,Staff,TBA,TBA,Non-Topical Design Research-Masters,,Open,0,1,0
14173,ALAR,8999,2,IND,12-Jan,Staff,TBA,TBA,Non-Topical Design Research-Masters,,Open,0,1,0
17745,AMST,1559,1,Lecture,3,Kirt von Daacke,MoWe 2:00pm - 3:15pm,Maury Hall 115,New Course in American Studies,The Aftermath of Slavery at UVA and in Virginia,Open,18,60,0
17746,AMST,2559,1,Lecture,3,Kevin Rose,MoWe 5:00pm - 6:15pm,Bryan Hall 328,New Course in American Studies,Global America,Open,8,30,0
17747,AMST,2559,2,Lecture,3,Rebecca Hill,TuTh 9:30am - 10:45am,Bryan Hall 235,New Course in American Studies,Latinx Spiritualities,Open,3,30,0
12356,AMST,2660,100,Lecture,3,Isaac May,MoWe 2:00pm - 2:50pm,Maury Hall 209,Spiritual But Not Religious: Spirituality in America,,Open,7,240,0
12399,AMST,2660,101,Discussion,0,Staff,Th 6:00pm - 6:50pm,New Cabell Hall 107,Spiritual But Not Religious: Spirituality in America,,Open,3,20,0
12400,AMST,2660,102,Discussion,0,Staff,Th 7:00pm - 7:50pm,Bryan Hall 235,Spiritual But Not Religious: Spirituality in America,,Open,0,20,0
12401,AMST,2660,103,Discussion,0,Staff,Th 8:00pm - 8:50pm,Bryan Hall 235,Spiritual But Not Religious: Spirituality in America,,Open,0,20,0
12402,AMST,2660,104,Discussion,0,TBA,TBA,TBA,Spiritual But Not Religious: Spirituality in America,,Open,0,10,0
12403,AMST,2660,105,Discussion,0,TBA,TBA,TBA,Spiritual But Not Religious: Spirituality in America,,Open,0,10,0
12404,AMST,2660,106,Discussion,0,Staff,We 8:00pm - 8:50pm,New Cabell Hall 107,Spiritual But Not Religious: Spirituality in America,,Open,0,20,0
12405,AMST,2660,107,Discussion,0,Staff,Fr 12:00pm - 12:50pm,Bryan Hall 235,Spiritual But Not Religious: Spirituality in America,,Open,1,20,0
12406,AMST,2660,108,Discussion,0,Staff,Fr 1:00pm - 1:50pm,Bryan Hall 235,Spiritual But Not Religious: Spirituality in America,,Open,0,20,0
12407,AMST,2660,109,Discussion,0,Staff,Fr 2:00pm - 2:50pm,Bryan Hall 235,Spiritual But Not Religious: Spirituality in America,,Open,0,20,0
12803,AMST,2660,110,Discussion,0,Staff,We 6:00pm - 6:50pm,New Cabell Hall 211,Spiritual But Not Religious: Spirituality in America,,Open,3,20,0
12804,AMST,2660,111,Discussion,0,Staff,We 7:00pm - 7:50pm,New Cabell Hall 315,Spiritual But Not Religious: Spirituality in America,,Open,0,20,0
12805,AMST,2660,112,Discussion,0,Staff,We 8:00pm - 8:50pm,Bryan Hall 235,Spiritual But Not Religious: Spirituality in America,,Open,0,20,0
11762,AMST,3001,1,SEM,3,Lisa Goff,TuTh 12:30pm - 1:45pm,New Cabell Hall 168,Theories and Methods of American Studies,,Open,17,18,0
12505,AMST,3001,2,SEM,3,Gillian Frank,TuTh 9:30am - 10:45am,New Cabell Hall 111,Theories and Methods of American Studies,,Open,8,18,0
17753,AMST,3180,100,Lecture,3,Sylvia Chong,MoWe 10:00am - 10:50am,Maury Hall 104,Introduction to Asian American Studies,,Open,20,60,0
17758,AMST,3180,101,Discussion,0,JiaYuan Huang,We 1:00pm - 1:50pm,Shannon House 108,Introduction to Asian American Studies,,Open,12,15,0
17759,AMST,3180,102,Discussion,0,JiaYuan Huang,We 2:00pm - 2:50pm,Shannon House 108,Introduction to Asian American Studies,,Open,6,15,0
17760,AMST,3180,103,Discussion,0,JiaYuan Huang,Fr 1:00pm - 1:50pm,Bryan Hall 334,Introduction to Asian American Studies,,Open,2,15,0
17761,AMST,3180,104,Discussion,0,JiaYuan Huang,Fr 2:00pm - 2:50pm,Bryan Hall 310,Introduction to Asian American Studies,,Open,0,15,0
17755,AMST,3221,1,SEM,3,Lisa Goff,Tu 3:30pm - 6:00pm,New Cabell Hall 068,Hands-On Public History: Slavery and Reconstruction,,Open,5,15,0
19727,AMST,3427,1,Lecture,3,Jessica Sewell,MoWe 3:30pm - 4:45pm,Bryan Hall 235,"Gender, Things, and Difference",,Open,10,30,0
17756,AMST,3559,1,Lecture,4-Jan,Penny Von Eschen,MoWe 2:00pm - 3:15pm,New Cabell Hall 232,New Course in American Studies,"Race, Gender, & Empire: Cultures of US Imperialism",Open,4,40,0
17766,AMST,3559,2,Lecture,4-Jan,Gillian Frank,TuTh 12:30pm - 1:45pm,New Cabell Hall 232,New Course in American Studies,Sexual Politics,Open,9,40,0
19722,AMST,3559,4,Lecture,3,Christina Proenza-Coles,TuTh 11:00am - 12:15pm,Bryan Hall 235,New Course in American Studies,Afro-Caribbean-Latinx Histories in the Americas,Open,2,30,0
12994,AMST,3740,1,Lecture,3,Jack Hamilton,MoWe 2:00pm - 3:15pm,Gibson Hall 211,Cultures of Hip-Hop,,Wait List,30,60,17
19327,AMST,4351,1,SEM,3,Jack Hamilton,MoWe 3:30pm - 4:45pm,New Cabell Hall 207,Aural Histories: Edison to Auto-Tune,,Wait List,9,20,0
13469,AMST,4500,1,SEM,3,Kasey Jernigan,TuTh 2:00pm - 3:15pm,New Cabell Hall 411,Fourth-Year Seminar in American Studies,Land and Health in Native America,Open,3,18,0
12506,AMST,4500,2,SEM,3,Marlon Ross,Th 3:30pm - 6:00pm,New Cabell Hall 183,Fourth-Year Seminar in American Studies,James Baldwin,Open,9,18,0
13485,AMST,4500,3,SEM,3,K. Ian Grandison,Tu 5:00pm - 7:30pm,Shannon House 109,Fourth-Year Seminar in American Studies,Race in American Places,Open,5,18,0
12507,AMST,4500,4,SEM,3,Sandhya Shukla,TuTh 12:30pm - 1:45pm,Bryan Hall 235,Fourth-Year Seminar in American Studies,The Global City,Wait List,9,18,2
17768,AMST,4559,1,Lecture,4-Jan,Lawrie Balfour,Tu 2:00pm - 4:30pm,Bryan Hall 332,New Course in American Studies,Politics and Literature,Closed,0,15,0
19997,AMST,4893,1,IND,3,Sylvia Chong,TBA,TBA,Independent Study in Asian Pacific American Studies,,Open,0,5,0
10899,AMST,4999,1,SEM,3,Anna Brickhouse,Mo 4:00pm - 6:30pm,New Cabell Hall 056,Distinguished Majors Thesis Seminar,,Open,0,15,0
17905,AMST,5559,1,SEM,4-Jan,Penny Von Eschen,Tu 3:30pm - 6:00pm,Fayerweather Hall 215,New Course in American Studies,Transnational Radicalism: Haymarket to Pussy Riot,Open,1,15,0
12998,AMST,8001,1,SEM,3,Sandhya Shukla,Tu 3:30pm - 6:00pm,Maury Hall 115,Approaches to American Studies,,Wait List,4,15,0
10009,ANTH,1010,100,Lecture,3,Giancarlo Rolando Betancourt,MoWe 8:00am - 8:50am,Maury Hall 104,Introduction to Anthropology,,Open,5,60,0
12296,ANTH,1010,101,Discussion,0,Michael Wenzel,Fr 8:00am - 8:50am,New Cabell Hall 283,Introduction to Anthropology,,Open,1,20,0
12297,ANTH,1010,102,Discussion,0,Michael Wenzel,We 7:00pm - 7:50pm,New Cabell Hall 191,Introduction to Anthropology,,Open,2,20,0
12298,ANTH,1010,103,Discussion,0,Michael Wenzel,Mo 4:00pm - 4:50pm,New Cabell Hall 291,Introduction to Anthropology,,Open,2,20,0
19106,ANTH,1010,200,Lecture,3,Alison Broach,MoWe 12:00pm - 12:50pm,Maury Hall 104,Introduction to Anthropology,,Open,11,60,0
19107,ANTH,1010,201,Discussion,0,Nazli Azergun,Fr 12:00pm - 12:50pm,The Rotunda Room 150,Introduction to Anthropology,,Open,5,20,0
19108,ANTH,1010,202,Discussion,0,Nazli Azergun,We 4:00pm - 4:50pm,New Cabell Hall 187,Introduction to Anthropology,,Open,4,20,0
19109,ANTH,1010,203,Discussion,0,Nazli Azergun,Mo 7:00pm - 7:50pm,New Cabell Hall 107,Introduction to Anthropology,,Open,2,20,0
19110,ANTH,1010,300,Lecture,3,Lorraine Mills,MoWe 3:30pm - 4:20pm,McLeod Hall 2005,Introduction to Anthropology,,Open,4,60,0
19111,ANTH,1010,301,Discussion,0,Xiaolei Qu,Th 8:30am - 9:20am,New Cabell Hall 209,Introduction to Anthropology,,Open,0,20,0
19112,ANTH,1010,302,Discussion,0,Xiaolei Qu,Th 7:00pm - 7:50pm,New Cabell Hall 115,Introduction to Anthropology,,Open,1,20,0
19113,ANTH,1010,303,Discussion,0,Xiaolei Qu,Mo 6:00pm - 6:50pm,New Cabell Hall 209,Introduction to Anthropology,,Open,3,20,0
19172,ANTH,2250,100,Lecture,3,Richard Handler,MoWe 4:00pm - 4:50pm,Wilson Hall 301,"Nationalism, Racism, Multiculturalism",,Open,36,120,0
19173,ANTH,2250,101,Discussion,0,Rachel Apone,Mo 5:00pm - 5:50pm,Nau Hall 241,"Nationalism, Racism, Multiculturalism",,Open,18,20,0
19174,ANTH,2250,102,Discussion,0,Gregory Flynn,Tu 4:00pm - 4:50pm,Bryan Hall 235,"Nationalism, Racism, Multiculturalism",,Open,10,20,0
19175,ANTH,2250,103,Discussion,0,Rachel Apone,Th 7:00pm - 7:50pm,Brooks Hall 103,"Nationalism, Racism, Multiculturalism",,Open,1,20,0
19176,ANTH,2250,104,Discussion,0,Gregory Flynn,Fr 9:00am - 9:50am,Bryan Hall 328,"Nationalism, Racism, Multiculturalism",,Open,0,20,0
19177,ANTH,2250,105,Discussion,0,Gregory Flynn,Fr 12:00pm - 12:50pm,The Rotunda Room 152,"Nationalism, Racism, Multiculturalism",,Open,4,20,0
19178,ANTH,2250,106,Discussion,0,Rachel Apone,Th 6:00pm - 6:50pm,Brooks Hall 103,"Nationalism, Racism, Multiculturalism",,Open,3,20,0
11318,ANTH,2280,100,Lecture,3,Sylvia Tidey,MoWe 10:00am - 10:50am,Wilson Hall 402,Medical Anthropology,,Open,63,240,0
19115,ANTH,2280,101,Discussion,0,Zach McKeeby,Mo 5:00pm - 5:50pm,Dell 2 102,Medical Anthropology,,Open,0,20,0
19116,ANTH,2280,102,Discussion,0,Richard Karl Deang,We 7:00pm - 7:50pm,Brooks Hall 103,Medical Anthropology,,Open,3,20,0
19117,ANTH,2280,103,Discussion,0,Zach McKeeby,Mo 4:00pm - 4:50pm,New Cabell Hall 283,Medical Anthropology,,Open,3,20,0
19118,ANTH,2280,104,Discussion,0,Zach McKeeby,Tu 3:30pm - 4:20pm,New Cabell Hall 383,Medical Anthropology,,Open,0,20,0
19121,ANTH,2280,105,Discussion,0,Madeleine Jean,Th 5:00pm - 5:50pm,New Cabell Hall 191,Medical Anthropology,,Open,2,20,0
19122,ANTH,2280,106,Discussion,0,Richard Karl Deang,Mo 3:30pm - 4:20pm,New Cabell Hall 485,Medical Anthropology,,Open,7,20,0
19123,ANTH,2280,107,Discussion,0,Madeleine Jean,Th 3:30pm - 4:20pm,New Cabell Hall 211,Medical Anthropology,,Open,6,20,0
19124,ANTH,2280,108,Discussion,0,Madeleine Jean,Mo 1:00pm - 1:50pm,Brooks Hall 103,Medical Anthropology,,Open,17,20,0
19125,ANTH,2280,109,Discussion,0,Richard Karl Deang,We 12:00pm - 12:50pm,Maury Hall 113,Medical Anthropology,,Open,13,20,0
19126,ANTH,2280,110,Discussion,0,Soha Tariq,Mo 9:00am - 9:50am,New Cabell Hall 115,Medical Anthropology,,Open,0,20,0
19127,ANTH,2280,111,Discussion,0,Soha Tariq,Fr 10:00am - 10:50am,The Rotunda Room 150,Medical Anthropology,,Open,7,20,0
19128,ANTH,2280,112,Discussion,0,Soha Tariq,We 12:00pm - 12:50pm,New Cabell Hall 485,Medical Anthropology,,Open,5,20,0
19168,ANTH,2375,100,Lecture,3,Saad Quasem,TuTh 9:30am - 10:45am,New Cabell Hall 168,Disaster,,Open,25,35,0
12541,ANTH,2410,100,Lecture,3,Daniel Lefkowitz,MoWe 3:30pm - 4:20pm,Maury Hall 115,Sociolinguistics,,Open,12,60,0
12542,ANTH,2410,101,Discussion,0,Courtney Cox,Fr 10:00am - 10:50am,The Rotunda Room 152,Sociolinguistics,,Open,1,20,0
12543,ANTH,2410,102,Discussion,0,Courtney Cox,Fr 11:00am - 11:50am,The Rotunda Room 150,Sociolinguistics,,Open,2,20,0
12544,ANTH,2410,103,Discussion,0,Courtney Cox,Th 2:00pm - 2:50pm,The Rotunda Room 152,Sociolinguistics,,Open,9,20,0
19160,ANTH,2415,100,Lecture,3,Mark Sicoli,MoWe 9:00am - 9:50am,Minor Hall 125,Language in Human Evolution,,Open,18,120,0
19161,ANTH,2415,101,Discussion,0,Miao Jiang,Fr 9:00am - 9:50am,TBA,Language in Human Evolution,,Open,3,20,0
19162,ANTH,2415,102,Discussion,0,Miao Jiang,Fr 8:00am - 8:50am,New Cabell Hall 207,Language in Human Evolution,,Open,0,20,0
19163,ANTH,2415,103,Discussion,0,Fiona Balestrieri,We 3:00pm - 3:50pm,TBA,Language in Human Evolution,,Open,3,20,0
19164,ANTH,2415,104,Discussion,0,Fiona Balestrieri,We 4:00pm - 4:50pm,New Cabell Hall 115,Language in Human Evolution,,Open,4,20,0
19165,ANTH,2415,105,Discussion,0,Fiona Balestrieri,Th 8:00am - 8:50am,Brooks Hall 103,Language in Human Evolution,,Open,4,20,0
19166,ANTH,2415,106,Discussion,0,Miao Jiang,Th 3:00pm - 3:50pm,Fayerweather Hall 215,Language in Human Evolution,,Open,4,20,0
11992,ANTH,2430,100,Lecture,3,Armik Mirzayan,MoWe 8:00am - 8:50am,Dell 1 105,Languages of the World,,Open,5,60,0
11993,ANTH,2430,101,Discussion,0,Taylor Gilliam,We 6:00pm - 6:50pm,Cocke Hall 101,Languages of the World,,Open,2,20,0
11994,ANTH,2430,102,Discussion,0,Taylor Gilliam,We 7:00pm - 7:50pm,New Cabell Hall 111,Languages of the World,,Open,1,20,0
11995,ANTH,2430,103,Discussion,0,Taylor Gilliam,Th 1:00pm - 1:50pm,New Cabell Hall 207,Languages of the World,,Open,2,20,0
19624,ANTH,2559,1,Lecture,3,Giancarlo Rolando Betancourt,MoWe 2:00pm - 3:15pm,Dell 2 103,New Course in Anthropology,Contemporary Indigenous Worlds,Open,8,35,0
19730,ANTH,2559,2,Lecture,3,Henry Skerritt,MoWe 3:30pm - 4:45pm,McLeod Hall 2007,New Course in Anthropology,"Sex, Spirits, and Sorcery: The Art of Arnhem Land",Open,8,60,0
12436,ANTH,3020,100,Lecture,3,Aidan Seale-Feldman,MoWe 9:00am - 9:50am,Maury Hall 104,Using Anthropology,,Open,12,60,0
19134,ANTH,3020,101,Discussion,0,Shane Weitzman,Fr 9:00am - 9:50am,Brooks Hall 103,Using Anthropology,,Open,1,20,0
19135,ANTH,3020,102,Discussion,0,Shane Weitzman,Fr 11:00am - 11:50am,The Rotunda Room 152,Using Anthropology,,Open,9,20,0
19136,ANTH,3020,103,Discussion,0,Shane Weitzman,Th 3:00pm - 3:50pm,TBA,Using Anthropology,,Open,2,20,0
19156,ANTH,3240,100,Lecture,3,Kasey Jernigan,MoWe 10:00am - 10:50am,Dell 1 105,The Anthropology of Food,,Open,14,60,0
19157,ANTH,3240,101,Discussion,0,Jeffrey Attridge,Th 3:00pm - 3:50pm,TBA,The Anthropology of Food,,Open,6,20,0
19158,ANTH,3240,102,Discussion,0,Jeffrey Attridge,Fr 8:00am - 8:50am,Brooks Hall 103,The Anthropology of Food,,Open,0,20,0
19159,ANTH,3240,103,Discussion,0,Jeffrey Attridge,Fr 10:00am - 10:50am,New Cabell Hall 332,The Anthropology of Food,,Open,8,30,0
13117,ANTH,3290,1,Lecture,3,Jarrett Zigon,Th 3:30pm - 6:00pm,New Cabell Hall 383,Biopolitics and the Contemporary Condition,,Open,11,30,0
19771,ANTH,3390,1,Lecture,3,Gertrude Fraser,TuTh 3:30pm - 4:45pm,Maury Hall 104,"Pregnancy, Birthing and the Post-Partum",,Open,18,60,0
19171,ANTH,3470,100,Lecture,3,Daniel Lefkowitz,MoWe 11:00am - 11:50am,Claude Moore Nursing Educ G120,Language and Culture in the Middle East,,Open,12,65,0
19393,ANTH,3470,101,Discussion,0,Tirajeh Tahvildar Akbari,We 5:00pm - 5:50pm,Brooks Hall 103,Language and Culture in the Middle East,,Open,8,20,0
19394,ANTH,3470,102,Discussion,0,Tirajeh Tahvildar Akbari,Th 5:00pm - 5:50pm,Brooks Hall 103,Language and Culture in the Middle East,,Open,3,20,0
19395,ANTH,3470,103,Discussion,0,Tirajeh Tahvildar Akbari,Fr 1:00pm - 1:50pm,Brooks Hall 103,Language and Culture in the Middle East,,Open,1,20,0
19151,ANTH,3490,100,Lecture,3,Eve Danziger,WeFr 10:00am - 10:50am,Maury Hall 115,Language and Thought,,Open,8,60,0
19152,ANTH,3490,101,Discussion,0,Colleen Winkelman,Mo 10:00am - 10:50am,The Rotunda Room 152,Language and Thought,,Open,4,20,0
19153,ANTH,3490,102,Discussion,0,Colleen Winkelman,Tu 11:00am - 11:50am,New Cabell Hall 115,Language and Thought,,Open,1,20,0
19154,ANTH,3490,103,Discussion,0,Colleen Winkelman,Mo 5:00pm - 5:50pm,New Cabell Hall 111,Language and Thought,,Open,3,20,0
19155,ANTH,3559,1,Lecture,3,Lise Dobrin,Tu 2:00pm - 4:30pm,Brooks Hall 103,New Course in Anthropology,Curating Culture: Collection Preservation Display,Open,3,20,0
19167,ANTH,3589,100,Lecture,3,Julia Haines,TuTh 9:30am - 10:45am,Barringer Wing 2677,Topics in Archaeology,Archaeology of Health and Disease,Open,19,35,0
13541,ANTH,3590,1,Lecture,3,Aidan Seale-Feldman,We 3:30pm - 6:00pm,New Cabell Hall 332,Social and Cultural Anthropology,Moral Experience,Open,15,30,0
13544,ANTH,3590,2,Lecture,3,Adriana Greci Green,Tu 1:00pm - 3:30pm,Fayerweather Hall 208,Social and Cultural Anthropology,Indigenous North American Arts,Open,1,8,0
19377,ANTH,3590,4,Lecture,3,Mingyun Zhang,TuTh 3:30pm - 4:45pm,New Cabell Hall 032,Social and Cultural Anthropology,Himalaya Revisited,Open,0,35,0
19169,ANTH,3885,100,Lecture,3,Adria LaViolette,TuTh 12:30pm - 1:45pm,Barringer Wing 2677,Archaeology of Europe,,Open,9,45,0
11651,ANTH,4591,1,SEM,3,Bremen Donovan,TuTh 2:00pm - 3:15pm,New Cabell Hall 042,Majors Seminar,"Truth Claims, Visual Technology, and Justice",Open,13,15,0
12300,ANTH,4591,2,SEM,3,Alison Broach,MoWe 2:00pm - 3:15pm,The Rotunda Room 150,Majors Seminar,Family across Cultures,Open,11,18,0
11437,ANTH,4993,11,IND,6-Jan,Frederick Damon,TBA,TBA,Independent Study in Anthropology,,Open,0,5,0
13683,ANTH,4993,30,IND,6-Jan,Adria LaViolette,TBA,TBA,Independent Study in Anthropology,,Open,1,30,0
