ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
19002,PLIR,2020,102,Discussion,0,Staff,We 8:00pm - 8:50pm,Nau Hall 141,Foreign Policies of the Powers,,Open,1,20,0
19003,PLIR,2020,103,Discussion,0,Staff,We 6:00pm - 6:50pm,Nau Hall 242,Foreign Policies of the Powers,,Open,10,20,0
19005,PLIR,2020,104,Discussion,0,Staff,We 7:00pm - 7:50pm,New Cabell Hall 211,Foreign Policies of the Powers,,Open,7,20,0
19006,PLIR,2020,105,Discussion,0,Staff,Th 4:00pm - 4:50pm,Nau Hall 142,Foreign Policies of the Powers,,Open,7,20,0
19007,PLIR,2020,106,Discussion,0,Staff,Th 5:00pm - 5:50pm,Gibson Hall 241,Foreign Policies of the Powers,,Open,3,20,0
19008,PLIR,2020,107,Discussion,0,Staff,Th 6:00pm - 6:50pm,Nau Hall 241,Foreign Policies of the Powers,,Open,0,20,0
19009,PLIR,2020,108,Discussion,0,Staff,Th 7:00pm - 7:50pm,New Cabell Hall 187,Foreign Policies of the Powers,,Open,0,20,0
19010,PLIR,2020,109,Discussion,0,Staff,Fr 2:00pm - 2:50pm,Nau Hall 141,Foreign Policies of the Powers,,Open,2,20,0
19014,PLIR,2030,100,Lecture,3,Len Schoppa,MoWe 4:00pm - 4:50pm,Minor Hall 125,International Relations of East Asia,,Open,25,120,0
19015,PLIR,2030,101,Discussion,0,Staff,Th 8:00pm - 8:50pm,New Cabell Hall 191,International Relations of East Asia,,Open,6,20,0
19016,PLIR,2030,102,Discussion,0,Staff,Fr 5:00pm - 5:50pm,New Cabell Hall 207,International Relations of East Asia,,Open,2,20,0
19017,PLIR,2030,103,Discussion,0,Staff,Th 4:00pm - 4:50pm,Gibson Hall 241,International Relations of East Asia,,Open,11,20,0
19018,PLIR,2030,104,Discussion,0,Staff,Th 5:00pm - 5:50pm,Nau Hall 142,International Relations of East Asia,,Open,1,20,0
19019,PLIR,2030,105,Discussion,0,Staff,Th 6:00pm - 6:50pm,New Cabell Hall 395,International Relations of East Asia,,Open,3,20,0
19020,PLIR,2030,106,Discussion,0,Staff,Th 7:00pm - 7:50pm,New Cabell Hall 207,International Relations of East Asia,,Open,2,20,0
10447,PLIR,3310,100,Lecture,3,Michael Smith,MoWe 3:00pm - 3:50pm,Wilson Hall 402,Ethics and Human Rights in World Politics,,Open,38,180,0
10451,PLIR,3310,104,Discussion,0,Staff,We 8:00pm - 8:50pm,New Cabell Hall 411,Ethics and Human Rights in World Politics,,Open,0,20,0
10452,PLIR,3310,105,Discussion,0,Staff,Th 7:00pm - 7:50pm,New Cabell Hall 027,Ethics and Human Rights in World Politics,,Open,1,20,0
10453,PLIR,3310,106,Discussion,0,Staff,We 4:00pm - 4:50pm,Nau Hall 242,Ethics and Human Rights in World Politics,,Open,17,20,0
10454,PLIR,3310,107,Discussion,0,Staff,We 7:00pm - 7:50pm,New Cabell Hall 283,Ethics and Human Rights in World Politics,,Open,2,20,0
10455,PLIR,3310,108,Discussion,0,Staff,Th 5:00pm - 5:50pm,New Cabell Hall 027,Ethics and Human Rights in World Politics,,Open,10,20,0
10456,PLIR,3310,109,Discussion,0,Staff,Fr 1:00pm - 1:50pm,Gibson Hall 241,Ethics and Human Rights in World Politics,,Open,1,20,0
12183,PLIR,3310,110,Discussion,0,Staff,Fr 12:00pm - 12:50pm,Nau Hall 142,Ethics and Human Rights in World Politics,,Open,3,20,0
12256,PLIR,3310,111,Discussion,0,Staff,Th 6:00pm - 6:50pm,Nau Hall 242,Ethics and Human Rights in World Politics,,Open,2,20,0
12257,PLIR,3310,112,Discussion,0,Staff,Fr 10:00am - 10:50am,Nau Hall 142,Ethics and Human Rights in World Politics,,Open,2,20,0
19392,PLIR,3500,1,Lecture,3,Jerry White,Mo 5:00pm - 7:30pm,Gibson Hall 211,Special Topics in International Relations,"Religion, Violence and Strategy",Open,20,65,0
19932,PLIR,4150,1,SEM,3,Dale Copeland,Tu 3:30pm - 6:00pm,Shannon House 108,Economics and National Security,,Open,4,15,0
12677,PLIR,4410,1,SEM,3,Sonal Pandya,Mo 3:30pm - 6:00pm,New Cabell Hall 042,Political Economy of Foreign Direct Investment,,Wait List,14,15,6
19472,PLIR,4440,2,SEM,3,Allen Lynch,Mo 5:00pm - 7:30pm,New Cabell Hall 594,Domestic Politics and American Foreign Policy,,Wait List,15,15,15
11448,PLIR,4990,1,SEM,9,Todd Sechser,Tu 10:00am - 12:30pm,Nau Hall 241,Honors Core Seminar in International Relations,,Open,0,7,0
11599,PLIR,4999,1,IND,3,Sidney Milkis,TBA,TBA,Senior Thesis,,Open,0,20,0
12678,PLIR,5810,1,SEM,3,Brantly Womack,MoWe 5:00pm - 6:15pm,Gibson Hall 142,Asymmetry and International Relations,,Open,1,15,0
19917,PLIR,5993,1,IND,3-Jan,Todd Sechser,TBA,TBA,Selected Problems in International Relations,,Open,1,25,0
13305,PLIR,7500,1,SEM,3,Shiran Victoria Shen,Mo 5:00pm - 7:30pm,Gibson Hall 296,Special Topics in International Relations,Approaches to Environmental Politics,Open,0,9,0
18975,PLIR,7500,2,SEM,3,Philip Potter,Mo 3:40pm - 6:40pm,Slaughter Hall 294,Special Topics in International Relations,Innovating for Defense,Open,0,5,0
18974,PLIR,8538,1,Lecture,3,"David Leblang, Sonal Pandya",Tu 3:30pm - 6:00pm,New Cabell Hall 287,Topics in International Political Economy,,Open,0,12,0
19933,PLIR,8639,1,Lecture,3,Dale Copeland,We 2:30pm - 5:00pm,Gibson Hall 296,Advanced Topics in International Relations Theory,,Open,5,10,0
10457,PLIR,8998,1,IND,12-Jan,Philip Potter,TBA,TBA,"Non-Topical Research, Preparation for Research",,Open,0,50,0
10458,PLIR,8999,1,IND,12-Jan,Philip Potter,TBA,TBA,Non-Topical Research,,Open,0,50,0
10459,PLIR,9998,1,IND,12-Jan,Philip Potter,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,50,0
10460,PLIR,9999,1,IND,12-Jan,Philip Potter,TBA,TBA,Non-Topical Research,,Open,0,50,0
19027,PLPT,1010,100,Lecture,3,Colin Bird,MoWe 3:00pm - 3:50pm,Nau Hall 101,Introduction to Political Theory,,Open,16,180,0
19028,PLPT,1010,101,Discussion,0,Staff,We 4:00pm - 4:50pm,New Cabell Hall 291,Introduction to Political Theory,,Open,6,20,0
19029,PLPT,1010,102,Discussion,0,Staff,We 8:00pm - 8:50pm,New Cabell Hall 291,Introduction to Political Theory,,Open,0,20,0
19030,PLPT,1010,103,Discussion,0,Staff,We 6:00pm - 6:50pm,New Cabell Hall 209,Introduction to Political Theory,,Open,3,20,0
19031,PLPT,1010,104,Discussion,0,Staff,We 7:00pm - 7:50pm,New Cabell Hall 287,Introduction to Political Theory,,Open,0,20,0
19032,PLPT,1010,105,Discussion,0,Staff,Th 4:00pm - 4:50pm,Gibson Hall 142,Introduction to Political Theory,,Open,3,20,0
19033,PLPT,1010,106,Discussion,0,Staff,Th 5:00pm - 5:50pm,New Cabell Hall 303,Introduction to Political Theory,,Open,1,20,0
19034,PLPT,1010,107,Discussion,0,Staff,Th 6:00pm - 6:50pm,Gibson Hall 141,Introduction to Political Theory,,Open,2,20,0
19035,PLPT,1010,108,Discussion,0,Staff,Th 7:00pm - 7:50pm,New Cabell Hall 211,Introduction to Political Theory,,Open,1,20,0
19036,PLPT,1010,109,Discussion,0,Staff,Fr 2:00pm - 2:50pm,New Cabell Hall 485,Introduction to Political Theory,,Open,0,20,0
19041,PLPT,3010,100,Lecture,3,George Klosko,MoWe 10:00am - 10:50am,McLeod Hall 2005,Ancient and Medieval Political Theory,,Open,18,60,0
19042,PLPT,3010,101,Discussion,0,Staff,We 7:00pm - 7:50pm,New Cabell Hall 291,Ancient and Medieval Political Theory,,Open,4,20,0
19043,PLPT,3010,102,Discussion,0,Staff,We 6:00pm - 6:50pm,Gibson Hall 141,Ancient and Medieval Political Theory,,Open,14,20,0
19044,PLPT,3010,103,Discussion,0,Staff,We 8:00pm - 8:50pm,New Cabell Hall 407,Ancient and Medieval Political Theory,,Open,0,20,0
19046,PLPT,3030,100,Lecture,3,Murad Idris,MoWe 11:00am - 11:50am,McLeod Hall 1003,Contemporary Political Thought,,Open,18,60,0
